"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","C","","","","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P10.00mm_Horizontal",""
"C2","1","C","","","","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"J1","1","USB to TTL","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"J2","1","GND","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J3","1","3V3","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J4","1","5V","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J5","1","Dual DAC","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"J6","1","Mono DAC","","","","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical",""
"J7","1","Mono Dac","","","","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","~"
"J8","1","GPIO button","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"J9","1","GPIO","","","","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","~"
"J10","1","AudioJack4_Ground","","","","Connector_Audio:Jack_3.5mm_CUI_SJ1-3525N_Horizontal","~"
"J11","1","AUX Jack","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"R1","1","R","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"U1","1","ESP32-WROOM-32UE","","","","RF_Module:ESP32-WROOM-32UE","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32e_esp32-wroom-32ue_datasheet_en.pdf"
