Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0603,2,1uf,
"C2, C3",0603,2,1uF  50V,CL10A105KB8NNNC
C5,C_Disc_D4.3mm_W1.9mm_P5.00mm,1,4.7uf,
C7,C_Disc_D4.3mm_W1.9mm_P5.00mm,1,100nf,
C8,C_Disc_D4.3mm_W1.9mm_P5.00mm,1,0.1uF  50V,CL10A105KB8NNNC
J1,PinHeader_1x06_P2.54mm_Vertical,1,GPIO,
J10,PinHeader_1x04_P2.54mm_Vertical,1,Vin/out,
J11,PinHeader_1x05_P2.54mm_Vertical,1,AUX Pinout,
J12,PinHeader_1x09_P2.54mm_Vertical,1,DAC AUX,
J13,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C,C165948
J5,PinHeader_1x06_P2.54mm_Vertical,1,Dual DAC,
J6,Jack_3.5mm_PJ311_Horizontal,1,AudioJack4_Ground,
J7,PinHeader_1x07_P2.54mm_Vertical,1,Mono Dac,
J8,PinHeader_1x06_P2.54mm_Vertical,1,GPIO Button,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,5.1k,0603WAF5101T5E
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,5.1k,0603WAF5101T5E
"R3, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,47R,0603WAF470JT5E
R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10kΩ,
U1,ESP32-WROOM-32UE,1,ESP32-WROOM-32UE,
U2,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,C84681
U3,SOT-23,1,XC6206P332MR,C5446
U4,DFN-6-1EP_2x2mm_P0.5mm_EP0.61x1.42mm,1,LTC3240EDC-3_3,
