Designator,Mid X,Mid Y,Rotation,Layer
C1,51.5,-44.5,180.0,top
C2,51.5,-40.5,0.0,top
C3,51.5,-42.5,0.0,top
C4,51.5,-46.51,0.0,top
C5,50.0,-36.0,270.0,top
C7,38.5,-41.5,0.0,top
C8,31.0,-41.5,0.0,top
J1,27.5,-56.23,180.0,top
J10,47.77,-52.0,270.0,top
J11,47.0,-60.0,0.0,top
J12,26.5,-27.84,0.0,top
J13,37.5,-64.0,0.0,top
J5,32.77,-44.5,90.0,top
J6,40.5,-60.5,180.0,bottom
J7,38.0,-38.5,90.0,top
J8,50.0,-24.23,180.0,top
R1,36.0,-47.5,0.0,top
R2,30.5,-60.5,90.0,top
R3,50.5,-60.0,270.0,top
R4,36.08,-53.5,180.0,top
R5,36.0,-50.5,180.0,top
U1,38.25,-26.17,0.0,top
U2,46.025,-45.325,270.0,top
U3,25.5,-41.0,0.0,top
U4,51.5,-48.645,270.0,top
